MSOA,Name,index-of-transport-accessibility,chargepoints,ulev,evhs,estimated-capacity
E02002229,"Clayton",401,0,200.0,9.713,633.55
E02002230,"Holme Top",675,0,518.0,17.055,1704.27
E02002231,"Scholemoor",492,7,304.0,9.772,580.00
E02002232,"Great Horton & Brackenhill",608,2,209.0,3.161,72.22
E02002233,"Canterbury",717,0,133.0,2.519,237.81
E02002234,"Holme Wood",605,0,155.0,9.906,227.91
E02002235,"Bowling Park",801,1,205.0,3.963,315.21
E02002236,"Wibsey St Enoch's",654,1,126.0,7.771,240.05
E02002237,"Horton Bank",532,0,159.0,6.909,168.65
E02002238,"Bankfoot",769,2,126.0,8.313,422.83
E02002239,"Bierley & Tong",733,2,316.0,13.870,2088.10
E02002240,"Queensbury",357,0,434.0,39.608,553.28
E02002241,"Buttershaw",631,2,132.0,22.130,408.36
E02002242,"Low Moor",768,3,337.0,14.193,1044.20
E02002243,"Wyke",808,1,132.0,15.368,535.83
E02002244,"Illingworth & Ogden",287,0,448.0,11.956,470.00
E02002245,"Mixenden",288,0,115.0,8.079,157.95
E02002246,"Northowram & Shelf",548,3,503.0,22.076,586.95
E02002247,"Hebden Bridge",186,4,268.0,41.970,857.37
E02002248,"Wheatley & Ovenden West",335,0,422.0,15.688,359.28
E02002249,"Ovenden East",377,0,328.0,13.465,0.00
E02002250,"Mytholmroyd & Cragg Vale",304,0,199.0,27.729,953.54
E02002251,"Central Halifax & Boothtown",462,6,653.0,54.154,6306.81
E02002252,"Norton Tower & Mount Tabor",335,0,203.0,9.026,90.50
E02002253,"Pellon West & Highroad Well",353,0,209.0,8.417,619.33
E02002254,"Hipperholme",695,3,337.0,19.895,130.01
E02002255,"Pellon East",414,0,307.0,3.854,879.18
E02002256,"Todmorden West & Cornholme",133,1,69.0,25.438,1017.81
E02002257,"King Cross",422,0,209.0,2.934,30.00
E02002258,"Clifton & Bailiff Bridge",730,6,637.0,33.927,4332.29
E02002259,"Savile Park",500,3,510.0,8.949,1623.78
E02002260,"Sowerby Bridge",495,3,297.0,33.762,758.64
E02002261,"Southowram & Siddal",639,1,366.0,23.338,1856.20
E02002262,"Brighouse",740,4,421.0,49.278,1327.66
E02002263,"Sowerby & Luddendenfoot",539,0,203.0,23.190,276.00
E02002264,"Skircoat Green",617,0,307.0,18.502,1275.67
E02002265,"Todmorden East & Walsden",134,1,126.0,13.918,1093.69
E02002266,"Rastrick East",748,0,124.0,16.108,595.92
E02002267,"Rastrick West",837,0,385.0,19.896,1207.94
E02002268,"Elland",835,3,759.0,24.981,2437.13
E02002269,"Greetland & Stainland",691,0,285.0,30.209,1113.96
E02002270,"Ripponden",799,0,373.0,37.564,900.70
E02002271,"Birkenshaw",759,0,437.0,28.552,474.68
E02002272,"Birstall",779,3,200.0,15.083,2608.56
E02002273,"Scholes & Hunsworth",939,2,159.0,15.654,129.38
E02002274,"Gomersal",693,0,227.0,14.398,80.58
E02002275,"Cleckheaton",781,2,219.0,47.990,1120.57
E02002276,"Wilton Park",643,0,145.0,9.916,198.08
E02002277,"Upper Batley & Soothill",616,0,445.0,8.384,542.71
E02002278,"Hightown & Hartshead Moor",739,0,164.0,17.369,163.51
E02002279,"Liversedge",602,0,185.0,21.749,364.07
E02002280,"Batley Central",557,3,124.0,12.359,1254.87
E02002281,"Heckmondwike North",547,1,128.0,15.401,377.28
E02002282,"Staincliffe & Healey",511,0,191.0,6.556,32.89
E02002283,"Batley Carr & Mount Pleasant",535,2,280.0,9.527,902.29
E02002284,"Shaw Cross & Hanging Heaton",623,0,362.0,15.967,1174.82
E02002285,"Heckmondwike Town",623,0,188.0,20.776,1373.17
E02002286,"Dewsbury Moor Upper",502,1,170.0,4.126,1402.78
E02002287,"Dewsbury Central & Westborough",493,2,407.0,17.567,3430.16
E02002288,"Earlsheaton & Chickenley",583,0,289.0,13.736,107.97
E02002289,"Dewsbury Moor Lower & Westtown",491,0,156.0,4.966,183.34
E02002290,"Northorpe & Crossley",617,0,106.0,21.015,210.30
E02002291,"Battyeford",709,0,106.0,21.493,252.68
E02002292,"Bradley & North Fixby",705,0,392.0,14.654,764.89
E02002293,"Ravensthorpe",521,2,262.0,5.858,362.66
E02002294,"Dewsbury Savile Town & Thornhill Lees",451,0,262.0,24.395,1710.20
E02002295,"Deighton & Brackenhall",635,3,268.0,17.080,666.53
E02002296,"Mirfield Central & Hopton",669,2,197.0,34.329,1158.92
E02002297,"Cowcliffe & South Fixby",863,0,538.0,19.975,130.42
E02002298,"Thornhill",504,0,358.0,9.270,275.09
E02002299,"Huddersfield Leeds Road & Fartown",685,4,825.0,45.770,4269.17
E02002300,"North Lindley & Birchencliffe",905,1,256.0,20.684,279.61
E02002301,"Birkby",794,0,282.0,12.531,17.32
E02002302,"Kirkheaton",662,0,534.0,15.253,840.70
E02002303,"Oakes & South Lindley",816,2,414.0,19.173,686.42
E02002304,"Edgerton & Marsh",749,1,414.0,5.667,811.67
E02002305,"Rawthorpe",486,0,196.0,8.563,199.48
E02002306,"Scapegoat Hill",735,0,261.0,12.423,506.18
E02002307,"Dalton Long Lane",552,0,196.0,9.036,32.77
E02002308,"Longwood & Quarmby",838,0,261.0,20.601,50.26
E02002309,"Paddock & Greenhead",652,0,325.0,3.451,657.63
E02002310,"Moldgreen & Ravensknowle Park",500,0,196.0,7.480,100.83
E02002311,"Golcar",713,0,261.0,9.972,597.73
E02002312,"Aspley",485,0,390.0,9.603,1258.22
E02002313,"Lockwood",563,1,193.0,4.090,326.32
E02002314,"Almondbury & Waterloo",449,0,411.0,9.381,233.22
E02002315,"Cowlersley & Milnsbridge",594,0,454.0,16.492,159.95
E02002316,"Lepton",496,0,836.0,29.132,423.03
E02002317,"Crosland Moor",525,0,193.0,9.218,250.34
E02002318,"Primrose Hill",429,0,193.0,9.510,142.68
E02002319,"Slaithwaite & Linthwaite",471,2,129.0,13.081,472.38
E02002320,"Netherton & South Crosland",426,0,580.0,11.355,155.70
E02002321,"Kirkburton & Farnley Tyas",421,0,568.0,33.150,552.78
E02002322,"Marsden & Pole Moor",357,0,320.0,8.814,1041.77
E02002323,"Honley & Brockholes",328,0,475.0,52.678,231.08
E02002324,"Emley & Skelmanthorpe",369,0,480.0,30.368,499.27
E02002325,"Meltham",339,0,475.0,50.746,705.51
E02002326,"Shelley & Shepley",346,0,320.0,25.623,758.46
E02002327,"Denby Dale",363,0,232.0,69.019,752.28
E02002328,"Upperthong & Holmbridge",355,3,387.0,46.492,957.37
E02002329,"Holmfirth",337,2,707.0,119.548,1075.51
E02002330,"Wetherby West",506,0,169.0,44.920,402.15
E02002331,"Wetherby East & Thorp Arch",531,7,527.0,113.042,7518.62
E02002332,"Otley North",215,1,122.0,15.711,1160.67
E02002333,"Otley South",226,5,449.0,53.812,2966.86
E02002334,"Boston Spa & Bramham",529,1,190.0,54.370,883.42
E02002335,"Collingham",420,2,734.0,55.652,3983.19
E02002336,"Bramhope & Pool-in-Wharfedale",242,0,752.0,51.247,13156.47
E02002337,"Guiseley North & West",194,0,553.0,43.728,1296.27
E02002338,"Guiseley East & South",202,1,228.0,40.384,1492.31
E02002339,"Yeadon West",240,5,354.0,61.085,1592.11
E02002340,"Yeadon East",272,0,124.0,13.925,1169.14
E02002341,"Alwoodley",287,1,750.0,53.967,978.40
E02002342,"Cookridge & Holt Park",253,0,276.0,27.017,670.89
E02002343,"Yeadon South",269,0,124.0,16.895,1016.22
E02002344,"Primley Park & Wigton Moor",314,0,352.0,105.404,597.81
E02002345,"Adel",302,1,276.0,43.981,967.19
E02002346,"Tinshill",254,0,402.0,29.997,1058.33
E02002347,"Moor Allerton",321,0,628.0,54.064,1405.64
E02002348,"Lawnswood & Ireland Wood",278,0,402.0,98.459,531.58
E02002349,"Roundhay Park & Slaid Hill",331,0,585.0,32.493,664.77
E02002350,"Horsforth West",298,3,402.0,46.895,2423.59
E02002351,"Scarcroft",407,0,623.0,31.980,1077.46
E02002352,"Moortown",352,0,696.0,45.019,692.96
E02002353,"Roundhay West",317,0,585.0,22.201,358.96
E02002354,"Carr Manor",396,0,586.0,33.570,734.29
E02002356,"Horsforth South & Rawdon",338,2,1231.0,60.591,2205.82
E02002357,"Horsforth East",295,0,126.0,46.219,1480.12
E02002358,"Whinmoor",392,0,1043.0,51.015,745.73
E02002359,"Aberford",454,0,714.0,39.741,893.05
E02002360,"Meanwood",357,0,510.0,13.406,644.38
E02002361,"Gledhow",372,1,233.0,21.578,520.77
E02002362,"Hawksworth & West Park",308,0,17958.0,20.773,474.17
E02002363,"Chapel Allerton North",417,3,344.0,10.909,350.71
E02002364,"Seacroft North & Monkswood",399,0,125.0,16.079,1346.09
E02002366,"Lady Wood & Oakwood",388,0,233.0,26.497,848.64
E02002367,"Meanwood South & Sugarwell",451,0,234.0,9.171,77.68
E02002368,"Calverley & Farsley North",407,1,1188.0,22.159,103.79
E02002369,"Hollin Park & Fearnville",376,0,358.0,21.596,93.89
E02002370,"Swarcliffe",429,0,9174.0,18.875,116.60
E02002371,"Chapel Allerton South & Chapeltown",498,0,344.0,19.097,1158.25
E02002373,"Headingley",385,1,123.0,13.569,3482.48
E02002374,"Kirkstall",400,3,17579.0,11.250,2085.27
E02002375,"Bramley Fall",391,0,8616.0,7.228,530.59
E02002376,"Gipton North",417,1,653.0,19.362,107.01
E02002377,"Harehills North",462,0,344.0,40.952,108.86
E02002379,"Seacroft South",442,0,271.0,15.114,654.79
E02002380,"Bramley Park North",365,0,293.0,7.886,53.98
E02002381,"Rodley & Stanningley Park",357,1,293.0,15.741,380.79
E02002382,"Harehills South",490,1,653.0,11.007,503.98
E02002383,"Hyde Park",500,0,123.0,11.593,87.92
E02002384,"Woodhouse & Little London",583,4,9398.0,39.425,4734.48
E02002385,"Burley",495,2,9064.0,11.289,2436.69
E02002386,"Cross Gates East & Manston",536,0,399.0,39.120,2025.14
E02002387,"Bramley Park South",449,0,109.0,16.076,704.36
E02002388,"Bramley East",437,0,10535.0,9.938,150.47
E02002389,"Gipton South & Killingbeck Park",470,1,778.0,5.491,81.21
E02002390,"Cross Gates West & Killingbeck",499,2,691.0,22.292,1569.97
E02002391,"Farsley South",401,2,293.0,28.021,3103.17
E02002392,"University & Little Woodhouse",615,8,9069.0,1.054,1936.15
E02002393,"Lincoln Green & St James",544,1,792.0,50.443,4048.48
E02002394,"Burmantofts",516,1,9323.0,5.478,923.59
E02002395,"New Pudsey",446,0,261.0,13.062,2304.65
E02002396,"Bramley South & Upper Armley",500,0,1982.0,12.719,765.31
E02002397,"Pudsey North East",465,0,293.0,14.734,196.40
E02002398,"Temple Newsam & Graveleythorpe",556,0,691.0,30.237,2490.13
E02002399,"Osmondthorpe & Neville Hill",574,0,588.0,4.256,1029.40
E02002400,"Armley & New Wortley",625,2,19395.0,18.490,4928.36
E02002401,"Halton Moor",530,7,566.0,14.897,3186.13
E02002402,"Colton",612,5,146.0,27.595,5686.47
E02002403,"Garforth West",542,7,253.0,32.311,2122.65
E02002404,"East End Park & Richmond Hill",658,0,420.0,8.145,873.89
E02002405,"Pudsey South West",369,3,362.0,21.561,259.23
E02002406,"Garforth East",538,0,253.0,25.492,626.20
E02002407,"Farnley East",611,0,1982.0,14.859,532.98
E02002408,"Pudsey South East",455,1,207.0,46.303,547.04
E02002409,"Farnley West & Gamble Hill",590,0,2164.0,7.343,21.12
E02002410,"Wortley",658,1,1896.0,9.910,1383.39
E02002411,"Holbeck",738,1,10916.0,5.282,2541.67
E02002412,"New Farnley & Lower Wortley",731,1,2078.0,11.238,740.45
E02002414,"Beeston Hill & Hunslet Moor",675,2,285.0,4.464,1064.87
E02002415,"Cross Flats Park & Garnets",690,0,117.0,1.397,197.52
E02002416,"Garforth South",564,1,569.0,60.549,3002.53
E02002417,"Kippax East",539,0,427.0,31.058,683.69
E02002418,"Kippax West",472,0,253.0,27.928,462.80
E02002419,"Beeston West & Cottingley",730,10,11098.0,3.935,5154.26
E02002420,"Beeston East",677,0,117.0,1.986,625.94
E02002421,"Belle Isle North",706,0,168.0,12.478,182.96
E02002422,"Churwell",593,7,299.0,18.608,5522.14
E02002423,"Belle Isle South",627,17,168.0,6.125,2763.77
E02002424,"Morley North & Gildersome East",823,0,182.0,23.472,101.27
E02002425,"Drighlington & Gildersome West",815,0,436.0,32.986,305.77
E02002426,"Woodlesford & Oulton",646,2,170.0,30.264,740.31
E02002427,"Rothwell Inner",629,6,170.0,26.886,880.14
E02002428,"Middleton Town Street",555,3,455.0,7.570,2075.98
E02002429,"Rothwell Outer",588,0,503.0,29.737,882.88
E02002430,"Middleton Park Avenue",633,0,467.0,7.740,324.64
E02002431,"Morley East",700,2,347.0,26.348,1334.34
E02002432,"Methley",553,0,597.0,22.929,464.51
E02002433,"Morley Central",684,7,600.0,48.223,1270.66
E02002434,"Robin Hood",778,0,333.0,28.588,353.50
E02002435,"Morley Bruntcliffe & Woodkirk",691,3,581.0,28.020,1450.19
E02002436,"Tingley East & East Ardsley",722,0,165.0,28.706,612.62
E02002437,"Tingley West & West Ardsley",762,0,479.0,21.965,95.13
E02002438,"Ferry Fryston",540,0,174.0,11.296,142.23
E02002439,"Castleford Town",553,2,174.0,24.585,1829.33
E02002440,"Airedale",593,0,337.0,12.374,42.35
E02002441,"Castleford West",595,0,174.0,16.346,1151.64
E02002442,"Glasshoughton",629,6,337.0,11.909,6543.89
E02002443,"Outwood East",582,1,305.0,14.088,878.14
E02002444,"Stanley",651,0,546.0,28.448,1845.42
E02002445,"Outwood West",599,4,619.0,13.343,2311.96
E02002446,"Altofts",585,0,410.0,16.198,1077.34
E02002447,"Knottingley",537,1,57.0,11.139,366.27
E02002448,"Ferrybridge & West Knottingley",644,4,57.0,12.624,3319.66
E02002449,"Pontefract North East",577,0,163.0,18.513,455.73
E02002450,"Normanton East",632,1,245.0,35.619,1171.06
E02002451,"Wrenthorpe & Kirkhamgate",667,0,454.0,25.365,3522.76
E02002452,"Pontefract North West",569,2,300.0,50.239,4252.88
E02002453,"Normanton West",551,2,211.0,26.960,1277.47
E02002454,"Wakefield Central",591,4,867.0,69.845,6460.31
E02002455,"Pontefract South East",515,1,163.0,11.141,685.16
E02002456,"Wakefield St John's",583,1,454.0,23.759,2449.94
E02002457,"Eastmoor",531,0,140.0,7.862,153.26
E02002458,"Ossett North",608,0,222.0,21.538,488.05
E02002459,"Alverthorpe & Flanshaw",582,0,426.0,28.950,1373.80
E02002460,"Pontefract South West",512,0,163.0,17.776,202.85
E02002461,"Streethouse & Sharlston Common",597,0,573.0,28.655,1761.51
E02002462,"Ossett West",591,1,222.0,24.690,812.17
E02002463,"Lupset",603,0,426.0,23.252,177.76
E02002464,"Featherstone",485,1,80.0,23.276,535.01
E02002465,"Thornes",548,2,454.0,27.979,3019.01
E02002466,"Ossett South East & Horbury Bridge",590,0,360.0,27.003,155.82
E02002467,"Agbrigg & Belle Isle",469,2,454.0,17.010,1260.82
E02002468,"Horbury",508,2,248.0,26.111,935.15
E02002469,"Crofton",411,0,468.0,20.807,1207.14
E02002470,"Sandal",506,2,314.0,27.074,1088.73
E02002471,"Ackworth & Darrington",414,2,635.0,36.477,786.30
E02002472,"Netherton & Middlestown",469,0,498.0,22.013,655.44
E02002473,"Durkar & Crigglestone",639,1,562.0,20.389,1406.90
E02002474,"Kettlethorpe & Chapelthorpe",573,0,562.0,19.903,496.90
E02002475,"Walton",470,3,1008.0,26.214,3261.05
E02002476,"Kinsley & Fitzwilliam",329,0,415.0,11.023,635.00
E02002477,"Ryhill & South Hiendley",369,0,396.0,17.365,17.18
E02002478,"Upton",489,0,250.0,9.079,142.58
E02002479,"Hemsworth Town",410,2,228.0,14.304,570.81
E02002480,"Moorthorpe",448,1,87.0,9.171,879.65
E02002481,"South Elmsall",442,1,87.0,11.024,2375.35
E02002482,"South Kirkby",393,0,148.0,10.247,255.03
E02006852,"Far Headingley & Weetwood",355,5,510.0,55.270,2295.82
E02006861,"Hyde Park Corner & Woodhouse Cliff",487,0,234.0,17.373,346.68
E02006875,"Leeds City Centre",629,43,20211.0,6.910,15325.83
E02006876,"Leeds Dock",695,4,9661.0,20.465,9755.48
